subclass,contents
아버지,<br>우리 집에 습격자가 찾아왔어 아버지가 생의 의지를 철거당한 그 날 밤부터 말야 습격자는 아버지에게서 막 배아했을 지도 모르는 알을 꿀꺼덩 삼켰어 그때 아버지의 얼굴은 파충류 같아 기생충 같아가 아닌 반수생거북 같거나 두비니구충 같았어 자세하고 끔찍했지<br>우리 집에 습격자가 찾아왔어 이제 아버진 알을 낳자마자 족족 빼앗기는 암탉이야<br>아버지가 품은 알들은 특히 더 맛있기라도 한 걸까<br>내가 처음으로 알을 잉태한 날 아버지가 말했지<br>얘야 어서 낳아라 잔인한 저이에게 잡아먹히지 않도록<br>저이는 예고도 언질도 없는 감정이니까<br>우리 집에 습격자가 찾아왔어 난 이제 산달이 되었을 거야<br>그 표독스러운 놈이 아가리를 찌익 벌리고 침을 질질 흘리고 다가오는걸 보니<br>애초에 낳을 수 있는 희망은 없단 말야<br>늘 오 개월 칠 개월 즘에 잡아먹히고 말아<br>생의 급류를 거꾸로 기어오르는 자만이 낼 수 있는 산란의 울음을 기대하지만<br>몇 번의 잉태와 몇 번의 낙태로 나는 알지 희망은 영원히 낳을 수 없는 미숙아란걸
삶,<br>이해하기 어려워 몇 번이고 읽어야 했다<br>삶은 축복이다<br>삶은 축복이다<br>카페에서 테이블을 닦으며 물끄러미 쳐다본 창 밖<br>뉘엿뉘엿 시들기 시작하는 해를 등지고 들어가는 작은 문<br>따분한 목소리<br>아무도 책장을 넘기지 않았다<br>일년만에 시들수 있다면<br>좀 더 잘 알아들었을 것이다<br>어느날은 답안지를 체크했다<br>예시문은 좀 더 포괄적으로 쓸 것<br>이곳은 다양한 수준의 아이들이 공부합니다<br>A to Z<br>1과 9<br>자동차와 고시원<br>여행과 귀향<br>삶은 축복일수도 있지만 삶은 축복이 아닐수도 있습니다
밤,<br>사랑하는 당신의 손에 담긴 온기를<br>마음 속에 담아두는 시간<br>당신과 함께 했던 순간이 모여<br>아름다운 추억이 되는 시간<br>내일 맞이할 당신을 그리며<br>달콤한 입맞춤을 꿈꾸는 시간<br>한순간도 허투루 쓰지 않으렵니다<br>잘자요.
발자국,"<br>알람소리가 울렸다.<br>바깥에선 어린 아이 웃음 소리가 들리고<br>창문으론 성에가 흔적을 남겼다.<br>눈으로 보아 완연한 겨울이다.<br>소복하게 쌓인 눈길 위로 발자국이 그려졌다. 동그스름한 옛 자국이 한껏 들떠 물었다. 아이야, 너는 무엇을 꿈꾸니. 빛바랜 구두코가 자국을 지워내며 답했다. 꿈 같은 건 실재하지 않아.<br>눈으로 보아 완연한 겨울이다.<br>꼬마가 그려낸 발자국은 서서히 몸집을 키우고 청춘으로 자라난 발자국은 희미해졌다. 몸집을 키운 발자국이 다시 한 번 묻는다. 흔들리는 바람 속에 위태롭지 않은 꽃이 어디 있으랴."
달,<br>가끔씩 달을 바라보다<br>희열같은 무저갱으로 빠져드는 때가 있다<br>발갛게 피어올라 토해내는<br>아마 그런 것 쯤<br>썩어 문드러지고<br>사라져버렸다 생각했는데도<br>한없이 빠져들게 만드는<br>기이하게 빛나던 둥근 눈이 마주칠 때<br>번쩍거리는 것을 목에 감아<br>기어이 참았던 것을 부르짖었다
꿈,"<br>꿈을 꾼다.<br>아무 걱정 없이 잠이 들고<br>아침에 눈을 뜨기 두렵지 않은 날이 오기를.<br>가만히 있는 나를<br>이리저리 치고 지나가는 사람들에 지칠 때<br>꿈꾸곤 하는 그 날, 그들로부터 자유로워질 그 날.<br>이게 뭐 그렇게 큰 꿈이라고<br>이렇게 이루기가 힘들까."
유류품,"<br>표지는 찢겨있었다 이유는 모른다<br>오른손 멈춰 선 자리에는 쉼표만이 무수하고<br>거미줄처럼 껴안은 너희들, 잔뜩 사랑한 양<br>온 귀 닳도록 매만지면서<br>이제는 소리라도 잡아보겠노라 발꿈치를 띄웠다<br>도저 휘어지지 못하는 뻣뻣한 금속 끄트머리<br>홀로는 부리조차 닫지 못해<br>검고 끈적한 장기들을 하염없이 토해내도<br>시선은 여지없이 절단된다<br>새벽 머금은 바닷물처럼 묵묵히 흘러갈 뿐<br>남겨진 꼬리들은 자꾸 물건을 잊은 채로 되돌아갔다<br>압정들, 바늘못들, 눈 없는 치어들<br>밑바닥은 온통 유류품들로 가득하다<br>흔들수록 희게 가라앉는 장난감을 보며 문득<br>깨닫는다<br>병 속에서 보는 하늘은 언제나 희뿌옇다는 걸<br>하강의 계절은 이미 와버렸다는 걸"
그녀,<br>베개 옆 동자<br>신발을 벗고 몰래<br>문 틈으로 그녀를<br>보고<br>돌아오는 그녀를<br>보고 놀라<br>문 안으로 들어갔다<br>베개 옆 구석에<br>웅크린 나를 보고<br>그녀는<br>아침까지<br>기다려요<br>그녀가 잠들자<br>나는 도망쳤다
인연,"<br>봄의 색으로 덧칠한 그리움의 꽃<br>이 꽃은 이별의 계절에 피어나<br>흘러간 시간을 알려주듯<br>청아하게 휘날린다<br>목 놓아 슬퍼하지도, 완전히 잊지도 않은<br>애매한 중간 어딘가에 놓인 감정이지만<br>분명 어느 한쪽에서도 만족할 수 없다면<br>그리고 결국에는 걸어나가야 한다면<br>그 끝을 돌아보는 것은 이제 그만두리라<br>계절이 돌고 도는 것처럼<br>그대와의 인연도 결국 돌아올 것임을 믿기에<br>봄은 미처 놓지 못한 슬픔의 흔적마저도<br>아름답게 피워내는 계절이니까"
눈,"<br>분명히 눈에는 눈인데 닿을 때는 자꾸만 비가 된다. 눈에는 눈, 이에는 이라는 말이 맞다면 우리도 하나의 빗방울일까. 나는 항상 누군가에게 눈송이처럼 소복히 가 닿고 싶었는데, 괜히 누군가를 축축히 적시기나 했다. 단지 아주 소복한 포옹에 관하여 기약없는 소박한 꿈만 꾸었다. 말라버린 마음만 남은 채로.<br>눈에는 눈, 비에는 비, 마음에는 마음. 말로는 이렇게나 간단한데도, 마음에는 왜 마음이기가 어려운 것일까.<br>눈으로 내려 눈으로 닿아 눈으로 기억되는 일이 어려운 것처럼,<br>마음이 마음으로 기억되는 일 또한 마땅히 어려웠다.<br>그렇지만 단 한 번이라도<br>마음이 마음으로 가 닿을 수 있다면-<br>아아 머리 위로 천천히<br>무너져 내리는 별자리처럼<br>밤은 최선을 다하여 하얗게 바랬다"
사랑,"<br>우리가 서로를 사랑하는 크기가 다를지 몰라도, 너는 내게 항상 사랑이었다. 작은 씨앗으로 솟아난 감정은 나도 모르게 뿌리를 내렸고, 어여쁜 꽃을 피우더라. 참 웃기지, 나도 모르는 사이에 내 사랑이 이렇게 어여쁘게 자라날 줄이야. 바람에 스쳐지나가는 마음인 줄 알았더니, 바람에 씨앗이 날아왔더라. 몽글몽글 자라난 그 씨앗이 결국 날 삼키고 말았어.<br>내 모든 시간을 쏟을 수 있는 내 사랑아, 내 사랑들아.<br>난 네 손짓 하나, 숨결 하나에도 사랑을 느껴.<br>우리,<br>어여쁜 마음이 무너지는 그날에도 나를 기억해 줘."
나 홀로 집에,"<br>엄마도, 아빠도, 언니도<br>회사에, 직장에, 학원에<br>나 홀로 집에<br>'9층입니다.'<br>엘레베이터 소리<br>엄마일까, 아빠일까, 언니일까<br>기대해보지만 우리 집 바로 옆집<br>'9층입니다'<br>기대해보지만 우리 집 바로 옆집"
기억,<br>아 야 어 여<br>어떻습니까<br>잘 모르겠습니다<br>오 요 우 유<br>어떤가요<br>조금 알 것도 같습니다<br>으 이.<br>한 번만 더 불러 주십시오<br>이번엔 알 수 있겠지요
선생님,"<br>이거 글 아니에요, 선생님<br>들으면 알 것 같은데 말하라면 못 하는, 여러 번 들어도 안 외워지는 그런 외국 수학자가 만든 공식인가 봐요 이거. 사칙연산만 겨우 뗀 나는 정말 모르겠어. 선생님이 그렇게 공부 좀 하라고 하실 때 말 들을걸. 괘씸해도 알려주시면 안 돼요?<br>그러니까요 선생님, 진심에 진심을 더했는데 왜 아무것도 아닌 게 돼요? 표현을 표현으로 제곱했는데 왜 음수가 되냐구요 선생님. 석가탑 다보탑은 천 년도 더 됐다는데 왜 내 행복은 며칠도 못 가요?<br>아아 죄송해요, 선생님 과목은 일본언데 뜬금없었죠. 제가 아는 사람 중에 제일 현명한 분이라서 뭐든 다 아실 것 같아서, 그래서요.<br>그러면요 선생님, 새로운 언어를 배우는 방법이 있다면 이미 아는 언어를 잊어버리는 방법도 있나요? 아 영영은 말고요 잠깐만요. 잠깐으로 될진 모르겠지만 그래도 잠깐만요. 그냥 제가 말을 모르면 좋겠어요. 전하고 싶은 마음을 못 전하는 게 그게 다 제가 까막눈인 탓이라고요.<br>다 내가 멍청해서 그런 거 알아요. 그래도 선생님은 언제든 제 편일 거 같아서. 아니라셔도 괜찮아요. 나는 늘 혼자였으니까 오늘 하루 더 혼자인 거 그거 아무렇지도 않아요. 음 내일 일은 내일 생각할게요. 안 괜찮아도 괜찮아요. 안 괜찮을 땐 어떻게 해야 하는지 배우질 못해서 전 늘 괜찮아요. 역시 선생님이 공부하라고 하실 때 말 좀 들을 걸 그랬어요. 나이만 먹었지 친구도 사귈 줄 모르고 신발 끈도 꽉 맬 줄 모르잖아요.<br>제가 아는 거라곤 도서관 구석 창가 자리에 드는 햇살의 온도뿐이었어요. 아무것도 묻지 않고 나무라지도 않고 그냥 다정한 목소리로 책을 읽어 줬거든요, 매 점심시간마다요. 그래서 제가 글을 너무 잘 알아요, 선생님. 전하고 싶은 마음은 더 많구요. 그게 슬퍼요.<br>저 이런 말 잘 안 하는 거 아시죠.<br>제대로 웃을 줄도 모르면서 울 줄 모르는 애처럼 굴었잖아요. 슬플 줄 모르는 척.<br>정말 괜찮아요 다 괜찮아요.<br>사실 좀 버거워요.<br>오늘 조퇴 좀 할게요."
흔들린 '나',<br>버스를 탄다 알수없는 행선지로 가는<br>감정없는 철 상자에 모든것을 맡기고<br>감정없는 이들이 흔들림에 저항없이 하늘거린다<br>감정없는 이들의 마음조차 흔들림에 하늘거린다<br>나는 온힘을 다해 저항하며<br>나는 온힘을 다해 거부한다<br>나는 결국 그들이 주는 달콤함에 취해<br>어쩌면 달콤할지 모른다는 기대감으로 나를 달래며<br>몸을 흔든다<br>2019년4월28일<br>버스안에 모두가 하늘거리며 흔들림에 몸을 맡긴다<br>어쩌면<br>어쩌면 버스는 제자리에 서있을지도 모른다<br>어쩌면 버스는 흔들리지 않았었다
골목,<br>내가 항상 같은 시간에<br>저 골목 모퉁이를 돌면<br>매일 같은 자리에서<br>나를 반겨주던 그대였지만<br>이제 저 골목 모퉁이를 돌아도<br>그대는 없겠지
인간,"<br>여기 사람이 한 명 있습니다<br>누구인지 다들 궁금해합니다<br>한 아이가 말합니다<br>""머리가 짧네! 남자일 거야.""<br>그러자 청년이 말합니다<br>""아니야, 화장을 했으니 여자일 거야""<br>그러자 할아버지가 말합니다<br>""걸음걸이가 씩씩하니 남자군!""<br>옆에 할머니가 고개를 저으며 말하네요<br>""저렇게 손톱을 화려하게 칠했는데 무슨! 젊은 처자군""<br>모두가 고개를 쭈욱 내밀고선<br>짧은 머리에 곱게 치장해서 씩씩하게 걸어가는 사람에게 묻습니다.<br>""당신은 누굽니까?""<br>그 사람은 씨익 웃습니다<br>누구일까요?"
회고,"<br>< 기상 ><br>광명ㅡ<br>커튼 사이로 들어오는 이 빛으로는<br>아직 알 수가 없다<br>정녕 생시인 것이냐<br>이 때 내 안의 끓어오르는<br>욕망ㅡ<br>목이 탄다! 물을 내어오너라!<br>깊고 깊은 동면에서 깨어난<br>눈 풀린 곰으로의<br>둔갑ㅡ<br>나는 그저 본능에 따라 물을 찾는<br>한 마리의 곰<br>고뇌하는 소크라테스가 되어<br>짧디 짧은 어제를 회고한다<br>얼마 뒤 기억으로부터의<br>탈출ㅡ<br>다행이다 오점을 남기진 않았구나<br>오늘은 늦깎이 신분<br>나만 빼고 시작된 하루에<br>뒤늦게 합류한 패잔병<br>비로소 정신을 가다듬고 드디어<br>부활ㅡ<br>(시의 해설)<br>이 시는 제가 대학교 새내기였던 20살에 쓴 시입니다. 저는 대학교에 들어와서 처음으로 술을 마시게 되었는데요, 술을 마시고 그 다음 날에 느낀 제 복잡한 감정을 잊고 싶지 않아 그 자리에서 뱉어내듯 휘갈겨 썼습니다. 그리고 낙서마냥 노트에 끄적여 놓았던 이 시를, 자취방을 정리하면서 다시 발견하게 됩니다."
여름,"<br>여름이면 서늘한 빗물이 범란해 푸른곰팡이가 피어오르던 한양아파트 옆<br>하늬바람에 흔들리던 버드나무 아래 가득히 만개하던 물양지꽃 아래,<br>내가 묻어 놓은 여름을 기억해<br>매미가 베란다 창틀을 끈질기게 두들기고<br>붉게 붉어진 열대야와 눈꼽이 눈꺼풀을 늘고 늘어져<br>나는 매번 무서운 눈썹을 달고 붉은 펜을 쓰는 아이들에게 붙잡혔어<br>내 이름이 붉은색으로 쓰일 때마다<br>여름이 붉은 아가리를 버리고 나를 삼켜가고 있었어<br>내 옆구리에 뿌리내린 튼살을 난 여름 내내 내려다보았어<br>흉을 가진 어른이 멋져 보였어<br>나는 그 흉이라도 달고 어른이 되고 싶었어<br>내가 훔쳐보던 시간들이 갈색 눈을 가졌다는 걸 알게 된 후,<br>사선으로 내려오던 매미소리는<br>도망쳐나오는 발소리에 묻혀 고요해지고<br>오래된 실내화가 복도타일을 두드리는 소리만이 복도 가득히 남아있었어<br>얼굴을 가리고 도망가면<br>하늘 위에서 나를 내려다보는 그가<br>나를 못알아볼거라 생각했어<br>축축해진 얼굴을 두손으로 모은채<br>여름의 끝으로 달려갔어<br>손톱 끝에 물들어 있던 복숭아는 첫눈을 만나지 못한채<br>축축한 흙속에서 색을 잃어갔어<br>다시 돌아온 여름,<br>나는 장우에 손을 씻어 보았지만<br>내 손은 흙투성인 채로<br>버드나무 아래 묻혀 있을 아이를 생각해"
밥,"<br>칙칙 밥솥이 밥을 만든다.<br>푸시시 밥솥이 김을 뱉는다.<br>요새 아주 편해졌지 밥하는 거<br>물도 눈금으로 맞춰주고<br>버튼 눌러서 맞춰주고<br>씻은 쌀 넣어서 앉혀주고<br>장작에 불을 피우면<br>그 위에 가마솥 올리던 옛날<br>코드를 콘센트에 끼우면<br>부엌 한편에서 밥솥이 칙칙<br>그래도 쌀은 다 안다<br>냄비 밥, 가마솥 밥, 돌솥 밥,<br>압력밥솥, 전기밥솥<br>내가 어디로 들어가는지<br>내가 어디가 가장 좋은지"
우리,"<br>사랑이 변했을까,<br>사람이 변했을까.<br>네가 변했을까,<br>내가 변했을까.<br>난 그 자리 그대로 있는데<br>너도 그 자리 그대로 있는데<br>왜 우린 이렇게 되었을까."
끝,<br>끝은 존재한다.<br>달리기에도 골인지점이 있고<br>시험에도 마지막이 있듯이.<br>끝은 존재한다<br>치킨에도 마지막이 있고<br>땅에는 지평선이 있듯이<br>끝은 없을까?<br>지평선 너머에도 땅이있고<br>우주너머에는 우주가 있는데.<br>끝은 없다.<br>사랑에도 끝이 존재할까.<br>너를 좋아하는 마음에도 끝이 존재 할까.
